con_legis_num,congress,target,manual_coding
119_s.1357,119,test_119,1
119_s.742,119,test_119,0
119_h.r.6888,119,test_119,0
101_h.con.res.214,101,train_neg,0
119_s.672,119,test_119,1
111_s.2110,111,train_neg,0
119_h.r.866,119,test_119,0
110_s.res.619,110,train_neg,0
119_h.r.256,119,test_119,0
119_h.r.458,119,test_119,0
112_s.2903,112,train_neg,0
116_s.3064,116,train_neg,0
119_h.res.5,119,test_119,0
119_h.res.653,119,test_119,0
119_h.r.2449,119,test_119,0
119_h.r.2559,119,test_119,1
119_h.r.5838,119,test_119,1
119_s.j.res.101,119,test_119,1
119_h.r.1625,119,test_119,0
119_h.r.2310,119,test_119,1
119_s.res.31,119,test_119,1
119_h.r.6770,119,test_119,1
119_h.r.4519,119,test_119,0
119_h.res.916,119,test_119,1
119_h.r.4706,119,test_119,1
119_s.959,119,test_119,0
119_h.r.620,119,test_119,0
119_s.res.226,119,test_119,1
119_h.r.1165,119,test_119,0
119_h.r.2286,119,test_119,1
119_s.3390,119,test_119,1
119_s.3426,119,test_119,0
109_s.2208,109,train_neg,0
119_h.res.561,119,test_119,0
109_h.j.res.86,109,train_neg,0
119_s.153,119,test_119,0
119_h.r.1049,119,test_119,0
119_h.r.4016,119,test_119,0
119_s.3301,119,test_119,0
119_s.2296,119,test_119,0
116_h.res.1131,116,train_neg,0
119_s.res.283,119,test_119,1
119_s.40,119,test_119,0
104_h.con.res.84,104,train_neg,0
109_h.r.5918,109,train_neg,0
110_h.r.4156,110,train_neg,0
119_h.r.1743,119,test_119,0
101_s.2493,101,train_neg,0
119_h.r.1468,119,test_119,1
113_s.1850,113,train_neg,0
119_h.r.2000,119,test_119,1
119_s.res.523,119,test_119,1
112_s.2358,112,train_neg,0
119_h.r.942,119,test_119,1
119_h.r.4812,119,test_119,0
113_h.r.1056,113,train_neg,0
119_h.r.1422,119,test_119,0
119_h.r.400,119,test_119,0
119_s.3163,119,test_119,1
119_h.r.7058,119,test_119,0
109_h.r.2836,109,train_neg,0
119_h.r.1167,119,test_119,1
119_h.r.460,119,test_119,1
119_h.res.925,119,test_119,0
110_s.3439,110,train_neg,0
106_h.r.3786,106,train_neg,0
119_h.r.6246,119,test_119,0
107_h.r.4428,107,train_neg,0
119_h.r.969,119,test_119,0
119_h.r.5371,119,test_119,0
108_h.r.2644,108,train_neg,0
119_h.r.4848,119,test_119,1
111_s.2028,111,train_neg,0
119_h.r.283,119,test_119,0
107_h.r.4228,107,train_neg,0
119_h.r.2871,119,test_119,0
119_h.r.3838,119,test_119,0
119_s.2882,119,test_119,0
119_h.r.3224,119,test_119,0
107_s.2178,107,train_neg,0
119_h.r.564,119,test_119,1
119_h.r.2459,119,test_119,0
119_h.r.7020,119,test_119,0
119_h.r.960,119,test_119,0
119_h.r.1724,119,test_119,1
111_h.res.1266,111,train_neg,0
115_s.res.386,115,train_neg,0
113_h.r.3355,113,train_neg,0
119_h.res.971,119,test_119,1
101_h.r.4305,101,train_neg,0
110_h.r.4730,110,train_neg,0
119_h.r.3122,119,test_119,0
119_s.3451,119,test_119,0
119_s.823,119,test_119,1
119_s.2722,119,test_119,1
105_s.1833,105,train_neg,0
119_h.r.2653,119,test_119,0
119_h.r.3197,119,test_119,1
106_h.r.901,106,train_neg,0
101_s.1715,101,train_neg,0
119_h.r.7075,119,test_119,1
119_h.res.930,119,test_119,1
119_h.r.2659,119,test_119,1
119_s.1165,119,test_119,1
119_h.r.5250,119,test_119,0
119_s.488,119,test_119,0
119_h.res.717,119,test_119,0
103_h.r.2897,103,train_neg,0
119_h.r.5329,119,test_119,1
119_s.321,119,test_119,1
119_h.r.4,119,test_119,0
119_h.r.910,119,test_119,1
119_h.r.649,119,test_119,0
119_s.2424,119,test_119,1
119_s.res.39,119,test_119,0
119_h.r.3452,119,test_119,1
114_h.r.4303,114,train_neg,0
119_s.761,119,test_119,0
119_s.2684,119,test_119,1
119_s.1772,119,test_119,1
111_s.1854,111,train_neg,0
119_h.res.242,119,test_119,0
119_s.1010,119,test_119,1
119_s.1223,119,test_119,1
119_h.r.6576,119,test_119,1
119_s.1864,119,test_119,1
119_h.r.6372,119,test_119,0
119_s.1754,119,test_119,1
119_h.r.4121,119,test_119,0
119_h.r.3961,119,test_119,1
101_h.r.4587,101,train_neg,0
119_s.3080,119,test_119,1
119_h.res.515,119,test_119,1
119_s.580,119,test_119,1
119_h.r.4775,119,test_119,0
107_s.1798,107,train_neg,0
119_h.r.455,119,test_119,1
111_s.1926,111,train_neg,0
119_s.172,119,test_119,1
119_s.2342,119,test_119,0
119_h.r.4522,119,test_119,1
108_h.r.4398,108,train_neg,0
119_h.res.64,119,test_119,0
110_h.r.5198,110,train_neg,0
119_s.res.356,119,test_119,0
108_h.r.2534,108,train_neg,0
119_h.r.733,119,test_119,1
119_s.2125,119,test_119,1
119_h.r.2619,119,test_119,0
119_s.2671,119,test_119,0
119_h.r.6105,119,test_119,1
119_s.res.281,119,test_119,0
106_h.r.2196,106,train_neg,0
119_h.r.3180,119,test_119,1
119_s.777,119,test_119,1
119_s.2258,119,test_119,1
119_h.res.148,119,test_119,1
119_s.j.res.37,119,test_119,0
119_s.3655,119,test_119,1
119_h.r.1048,119,test_119,0
112_s.2501,112,train_neg,0
119_s.817,119,test_119,1
119_s.108,119,test_119,1
102_h.r.1807,102,train_neg,0
119_s.2868,119,test_119,0
119_h.r.7113,119,test_119,1
119_h.r.914,119,test_119,0
119_h.r.3198,119,test_119,1
119_s.733,119,test_119,1
119_s.853,119,test_119,0
119_h.r.1549,119,test_119,1
102_h.r.1859,102,train_neg,0
119_s.1011,119,test_119,1
103_s.res.209,103,train_neg,0
119_s.1055,119,test_119,0
102_h.r.3406,102,train_neg,0
119_s.2611,119,test_119,0
119_h.r.4830,119,test_119,1
119_s.37,119,test_119,0
119_s.3158,119,test_119,0
107_h.r.4239,107,train_neg,0
119_s.res.352,119,test_119,0
105_h.r.4358,105,train_neg,0
119_h.r.7121,119,test_119,1
119_s.1463,119,test_119,0
119_h.r.385,119,test_119,0
119_s.2146,119,test_119,1
112_h.r.5300,112,train_neg,0
104_h.r.1056,104,train_neg,0
119_s.res.121,119,test_119,0
119_h.r.1507,119,test_119,1
109_s.2963,109,train_neg,0
119_h.r.6487,119,test_119,1
119_s.868,119,test_119,0
119_h.r.1032,119,test_119,1
119_h.r.2029,119,test_119,0
119_h.r.2458,119,test_119,0
119_s.1883,119,test_119,1
110_h.r.4471,110,train_neg,0
119_s.res.40,119,test_119,0
111_s.2087,111,train_neg,0
110_s.3357,110,train_neg,0
105_h.r.2432,105,train_neg,0
103_h.r.2452,103,train_neg,0
119_s.1778,119,test_119,1
119_h.r.3565,119,test_119,0
112_h.res.698,112,train_neg,0
119_s.1360,119,test_119,1
119_s.2231,119,test_119,0
119_h.r.7006,119,test_119,0
119_s.418,119,test_119,1
119_h.r.2914,119,test_119,1
119_s.691,119,test_119,0
119_s.1588,119,test_119,1
119_h.r.1540,119,test_119,1
119_h.r.805,119,test_119,1
119_s.res.86,119,test_119,1
119_s.2180,119,test_119,0
119_h.r.6624,119,test_119,1
119_h.r.6275,119,test_119,1
119_h.r.33,119,test_119,1
110_h.con.res.203,110,train_neg,0
119_h.r.36,119,test_119,1
119_s.886,119,test_119,0
119_h.r.1121,119,test_119,1
103_h.r.5206,103,train_neg,0
116_h.r.1383,116,train_neg,0
119_h.r.508,119,test_119,1
119_h.r.2464,119,test_119,0
119_h.r.2115,119,test_119,1
107_h.con.res.202,107,train_neg,0
119_h.r.6792,119,test_119,0
112_h.r.5165,112,train_neg,0
119_h.r.254,119,test_119,1
119_s.3069,119,test_119,1
119_h.r.40,119,test_119,0
119_s.res.463,119,test_119,1
119_s.1359,119,test_119,1
104_h.r.3499,104,train_neg,0
119_s.1824,119,test_119,1
119_h.r.1968,119,test_119,0
119_h.r.3904,119,test_119,0
102_h.r.5372,102,train_neg,0
119_h.r.2393,119,test_119,0
119_h.con.res.62,119,test_119,0
119_h.r.6061,119,test_119,0
109_h.r.1890,109,train_neg,0
109_h.r.2225,109,train_neg,0
119_s.3148,119,test_119,1
112_h.r.5363,112,train_neg,0
119_h.con.res.65,119,test_119,0
113_h.r.1505,113,train_neg,0
109_h.res.1001,109,train_neg,0
119_h.r.2113,119,test_119,1
119_s.1694,119,test_119,1
119_h.r.2047,119,test_119,0
110_h.r.5389,110,train_neg,0
119_s.res.354,119,test_119,0
119_h.r.1848,119,test_119,0
119_h.r.747,119,test_119,1
119_h.r.1081,119,test_119,1
119_h.r.5303,119,test_119,1
104_h.r.3698,104,train_neg,0
119_h.r.1134,119,test_119,1
119_s.1216,119,test_119,1
119_s.3208,119,test_119,1
119_h.res.232,119,test_119,1
119_h.r.1438,119,test_119,1
119_h.r.4781,119,test_119,0
119_h.r.1235,119,test_119,0
119_s.res.350,119,test_119,0
119_s.2502,119,test_119,1
119_h.r.6151,119,test_119,0
111_h.con.res.318,111,train_neg,0
119_h.r.2370,119,test_119,1
119_s.1744,119,test_119,1
119_h.r.6504,119,test_119,0
119_h.r.243,119,test_119,0
111_s.1975,111,train_neg,0
119_s.3640,119,test_119,1
119_h.r.934,119,test_119,1
119_h.r.708,119,test_119,1
119_s.3574,119,test_119,1
119_h.r.7146,119,test_119,1
116_h.r.598,116,train_neg,0
119_s.j.res.88,119,test_119,0
112_s.3124,112,train_neg,0
119_h.r.735,119,test_119,0
112_s.2776,112,train_neg,0
119_s.2646,119,test_119,1
119_h.r.6877,119,test_119,1
119_h.res.470,119,test_119,1
119_h.r.2661,119,test_119,1
106_h.r.5469,106,train_neg,0
119_h.r.648,119,test_119,0
119_h.res.248,119,test_119,0
119_s.206,119,test_119,1
112_h.r.5192,112,train_neg,0
119_s.1053,119,test_119,1
119_h.r.6909,119,test_119,1
119_s.2657,119,test_119,1
119_h.r.391,119,test_119,1
119_h.r.2403,119,test_119,1
108_h.r.10,108,train_neg,0
119_h.r.1577,119,test_119,0
101_h.r.4018,101,train_neg,0
119_h.con.res.25,119,test_119,0
116_h.res.256,116,train_neg,0
103_h.r.795,103,train_neg,0
119_h.r.3727,119,test_119,0
115_h.r.6413,115,train_neg,0
119_s.2224,119,test_119,1
119_h.r.5912,119,test_119,1
119_s.2884,119,test_119,1
119_s.2362,119,test_119,1
119_h.r.6216,119,test_119,0
119_s.821,119,test_119,1
119_h.r.2127,119,test_119,1
119_s.3452,119,test_119,1
119_s.676,119,test_119,0
119_h.r.6056,119,test_119,0
119_h.r.4245,119,test_119,0
119_s.res.98,119,test_119,1
119_s.res.203,119,test_119,0
119_s.952,119,test_119,0
119_h.res.687,119,test_119,1
112_s.res.342,112,train_neg,0
119_s.3330,119,test_119,1
108_h.r.2616,108,train_neg,0
119_s.res.204,119,test_119,0
119_h.r.2989,119,test_119,1
119_s.res.444,119,test_119,1
111_s.2001,111,train_neg,0
119_s.1259,119,test_119,0
119_h.r.4326,119,test_119,0
102_h.r.1910,102,train_neg,0
119_s.1086,119,test_119,1
112_h.r.5402,112,train_neg,0
112_h.r.4896,112,train_neg,0
119_h.res.375,119,test_119,0
119_h.r.3397,119,test_119,0
119_h.r.881,119,test_119,1
101_h.r.5344,101,train_neg,0
119_s.res.525,119,test_119,0
119_h.r.5022,119,test_119,1
110_h.r.5911,110,train_neg,0
111_s.2488,111,train_neg,0
119_h.res.875,119,test_119,0
119_h.r.4860,119,test_119,1
119_s.res.195,119,test_119,0
119_s.res.547,119,test_119,1
