"con_legis_num","congress","target","title","link","label_a","label_b","notes_a","notes_b","final_label"
"119_s.1012","119","test_119","A bill to increase oversight of foreign direct investment in agricultural land in the United States, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/1012","Yes","No","","","No"
"119_h.r.1995","119","test_119","To direct the Secretary of Agriculture to publish, on an annual basis, an assessment on United States dependency on critical agricultural products or inputs from the People's Republic of China, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1995","Yes","No","","","Yes"
"119_s.1623","119","test_119","A bill to require reciprocity from certain countries with respect to the reporting of official meetings with State and local officials, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/1623","No","Yes","","","No"
"119_s.3555","119","test_119","A bill to protect the national security of the United States by imposing sanctions with respect to certain persons of the People's Republic of China and prohibiting and requiring notifications with respect to certain investments by United States persons in countries of concern.","https://www.congress.gov/bill/119th-congress/senate-bill/3555","Yes","No","","","Yes"
"119_h.r.1679","119","test_119","To direct the Secretary of Commerce, in coordination with the heads of other relevant Federal departments and agencies, to conduct an interagency review of and report to Congress on ways to increase the global competitiveness of the United States in attracting foreign direct investment.","https://www.congress.gov/bill/119th-congress/house-bill/1679","No","Yes","","","Yes"
"119_h.r.938","119","test_119","To amend the Higher Education Act of 1965 to restrict contracts with foreign countries of concern and foreign entities of concern.","https://www.congress.gov/bill/119th-congress/house-bill/938","No","Yes","","","No"
"119_s.3374","119","test_119","A bill to amend the Export Control Reform Act of 2018 to prohibit the issuance of licenses for the export, reexport, or in-country transfer of advanced integrated circuits to or in foreign adversaries.","https://www.congress.gov/bill/119th-congress/senate-bill/3374","No","Yes","","","Yes"
"119_h.r.1005","119","test_119","To require public elementary and secondary schools to disclose certain funds received from, or contracts with, a foreign source, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1005","No","Yes","","","Yes"
"119_s.406","119","test_119","A bill to authorize an exception to the prohibition on the construction of naval vessels in foreign shipyards, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/406","No","Yes","","","Yes"
"119_h.r.1023","119","test_119","To amend the Higher Education Act of 1965 to require disclosure of certain foreign investments within endowments, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1023","No","Yes","","","No"
"119_h.r.1166","119","test_119","To prohibit the Secretary of Homeland Security from procuring certain foreign-made batteries, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1166","No","Yes","","","Yes"
"119_s.res.52","119","test_119","A resolution recognizing religious freedom as a fundamental right, expressing support for international religious freedom as a cornerstone of United States foreign policy, and expressing concern over increased threats to and attacks on religious freedom around the world.","https://www.congress.gov/bill/119th-congress/senate-resolution/52","Yes","No","","","No"
"119_s.197","119","test_119","A bill to require the Committee on Foreign Investment in the United States to review any purchase or lease of real estate near a military installation or military airspace in the United States by a foreign person connected to or subsidized by the Russian Federation, the People's Republic of China, the Islamic Republic of Iran, or the Democratic People's Republic of Korea, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/197","Yes","No","","","No"
"119_s.2669","119","test_119","A bill to require the Secretary of Defense to develop and implement a strategy to strengthen multilateral deterrence in the Indo-Pacific region.","https://www.congress.gov/bill/119th-congress/senate-bill/2669","Yes","No","","","Yes"
"119_s.2048","119","test_119","A bill to prohibit the purchase of certain securities from covered entities, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2048","Yes","No","","","No"
"119_s.2550","119","test_119","A bill to provide for international cooperation to secure critical mineral supply chains, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2550","Yes","No","","","No"
"119_s.618","119","test_119","A bill to prohibit the purchase or lease of agricultural land in the United States by persons associated with certain foreign governments, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/618","Yes","No","","China is a big part of it but multiple countries were mentioned.","No"
"119_h.r.953","119","test_119","To advance United States long-term trade competitiveness and economic leadership in the Indo-Pacific region.","https://www.congress.gov/bill/119th-congress/house-bill/953","Yes","No","","","Yes"
"119_h.r.3626","119","test_119","To facilitate the development of a whole-of-government strategy for nuclear cooperation and nuclear exports.","https://www.congress.gov/bill/119th-congress/house-bill/3626","Yes","No","","","No"
"110_h.r.2705","110","train_neg","To amend the Compact of Free Association Amendments Act of 2003, and for other purposes.","https://www.congress.gov/bill/110th-congress/house-bill/2705","Yes","No","","","No"
"119_h.r.542","119","test_119","To amend the Higher Education Act of 1965 to prohibit institutions of higher education from receiving gifts from certain countries, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/542","Yes","No","","","No"
"119_h.r.1576","119","test_119","To amend the Defense Production Act of 1950 with respect to foreign investments in United States agriculture, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1576","Yes","No","","","No"
"119_h.r.2067","119","test_119","To amend the Employment Retirement Income Security Act of 1974 to prohibit plan investments in foreign adversary and sanctioned entities, require disclosure of existing investments in such entities, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/2067","No","Yes","","","Yes"
"119_h.r.5300","119","test_119","To guide the foreign policy of the United States, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/5300","No","Yes","","","Yes"
"119_h.r.2754","119","test_119","To require the Committee on Foreign Investment in the United States to review any purchase or lease of real estate near a military installation or military airspace in the United States by a foreign person connected to or subsidized by the Russian Federation, the People's Republic of China, the Islamic Republic of Iran, or the Democratic People's Republic of Korea, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/2754","No","Yes","","","No"
"119_h.r.600","119","test_119","To prohibit the use of funds to seek membership in the World Health Organization or to provide assessed or voluntary contributions to the World Health Organization.","https://www.congress.gov/bill/119th-congress/house-bill/600","No","Yes","","","Yes"
"119_s.1000","119","test_119","A bill to establish an Ambassador-at-Large for Arctic Affairs.","https://www.congress.gov/bill/119th-congress/senate-bill/1000","No","Yes","","","Yes"
"119_h.r.4081","119","test_119","To amend title 18, United States Code, to establish mandatory minimum penalties for economic and defense espionage when committed on behalf of foreign adversaries.","https://www.congress.gov/bill/119th-congress/house-bill/4081","No","Yes","","","No"
"119_s.1478","119","test_119","A bill to provide the United States Government with additional tools to deter state and non-state actors from wrongfully detaining United States nationals for political leverage, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/1478","No","Yes","","","No"
"119_s.860","119","test_119","A bill to modify the information about countries exporting methamphetamine that is included in the annual International Narcotics Control Strategy Report, to require a report to Congress on the seizure and production of certain illicit drugs, to impose sanctions with respect to the production and trafficking into the United States, of synthetic opioids, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/860","No","Yes","","","No"
"119_h.r.2917","119","test_119","To track taxpayer dollars sent to adversarial countries and foreign entities of concern, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/2917","No","Yes","","","No"
"119_s.2259","119","test_119","A bill to prohibit the operation on property of the Department of Defense of certain vehicles designed, developed, manufactured, or supplied by persons owned by, controlled by, or subject to the jurisdiction of a foreign entity of concern, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2259","No","Yes","","","No"
"119_s.450","119","test_119","A bill to prohibit the Secretary of Homeland Security from procuring certain foreign-made batteries, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/450","No","Yes","","","Yes"
"119_h.r.4779","119","test_119","Making appropriations for National Security, Department of State, and Related Programs for the fiscal year ending September 30, 2026, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/4779","No","Yes","","","Yes"
"119_h.r.6286","119","test_119","To provide for the termination of tariffs with respect to certain countries and other jurisdictions under Executive Orders 14257 and 14326.","https://www.congress.gov/bill/119th-congress/house-bill/6286","No","Yes","","","No"
"119_s.769","119","test_119","A bill to amend the Research and Development, Competition, and Innovation Act to clarify the definition of foreign country for purposes of malign foreign talent recruitment restriction, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/769","No","Yes","","","No"
"119_s.928","119","test_119","A bill to amend the Employment Retirement Income Security Act of 1974 to prohibit plan investments in foreign adversary and sanctioned entities, require disclosure of existing investments in such entities, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/928","No","Yes","","","Yes"
"119_s.369","119","test_119","A bill to amend the Internal Revenue Code of 1986 to deny certain green energy tax benefits to companies associated with foreign adversaries.","https://www.congress.gov/bill/119th-congress/senate-bill/369","Yes","No","","Covers companies associated with foreign adversaries","No"
"119_s.1434","119","test_119","A bill to track taxpayer dollars sent to adversarial countries and foreign entities of concern, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/1434","Yes","No","","Covers adversarial countries","No"
"119_s.2384","119","test_119","A bill to monitor United States investments in entities that are controlled by foreign adversaries, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2384","Yes","No","","Covers foreign adversaries","No"
"119_s.2453","119","test_119","A bill to require the Secretary of Defense to establish and maintain a security cooperation initiative to strengthen cooperation among the defense industrial bases of the United States and allied and partner countries in the Indo-Pacific region, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2453","Yes","No","","Indo-Pacific defense","No"
"119_s.1801","119","test_119","A bill to facilitate the development of a whole-of-government strategy for nuclear cooperation and nuclear exports, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/1801","Yes","No","","","No"
"119_s.2565","119","test_119","A bill to prohibit the District of Columbia government from entering into Sister City relationships with jurisdictions located in foreign adversary countries and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2565","Yes","No","","Covers adversarial countries","No"
"119_s.1071","119","test_119","An Act to authorize appropriations for fiscal year 2026 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/1071","Yes","No","","","No"
"119_s.789","119","test_119","A bill to require reports on critical mineral and rare earth element resources around the world and a strategy for the development of advanced mining, refining, separation, and processing technologies, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/789","Yes","No","","REMs mentioned","No"
"119_s.2177","119","test_119","A bill to protect the United States Government from foreign adversary AI and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2177","Yes","No","","AI again","No"
"119_h.r.1840","119","test_119","To provide for phase-out of de minimis treatment under the Tariff Act of 1930, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1840","Yes","No","","","Yes"
"119_h.r.1486","119","test_119","To impose sanctions with respect to economic or industrial espionage by foreign adversarial companies, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1486","Yes","No","","Covers foreign adversarial companies generally","No"
"119_h.r.5760","119","test_119","To amend the Defense Production Act of 1950 to include the Secretary of Agriculture on the Committee on Foreign Investment in the United States and require review of certain agricultural transactions, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/5760","Yes","No","","Agricultural transactions could involve China","No"
"119_s.1296","119","test_119","A bill to amend the Higher Education Act of 1965 to strengthen disclosure requirements relating to foreign gifts and contracts, to prohibit contracts between institutions of higher education and certain foreign entities and countries of concern, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/1296","Yes","No","","“Countries of concern”","No"
"119_h.r.1284","119","test_119","To amend the Tariff Act of 1930 to increase civil penalties for, and improve enforcement with respect to, customs fraud, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1284","Yes","No","","","No"
