con_legis_num,intern,label,notes
112_h.r.4796,Elizabeth O.,No,
119_s.974,Elizabeth O.,No,
116_s.4018,Elizabeth O.,No,
119_h.r.1575,Elizabeth O.,Yes,
119_h.r.5626,Elizabeth O.,No,
119_h.r.2246,Elizabeth O.,Yes,
119_s.1625,Elizabeth O.,Yes,
119_s.res.409,Elizabeth O.,Yes,
119_h.r.6318,Elizabeth O.,No,
109_s.3311,Elizabeth O.,No,
102_s.2648,Elizabeth O.,No,
109_h.res.545,Elizabeth O.,No,
119_h.r.4427,Elizabeth O.,No,
119_s.2861,Elizabeth O.,No,
119_h.r.2503,Elizabeth O.,Yes,
119_s.1886,Elizabeth O.,No,
119_h.r.1512,Elizabeth O.,No,
119_s.3320,Elizabeth O.,Yes,
119_s.1711,Elizabeth O.,Yes,
119_h.r.2806,Elizabeth O.,Yes,
119_h.r.809,Elizabeth O.,Yes,
119_h.r.5450,Elizabeth O.,No,
119_s.732,Elizabeth O.,No,
119_s.3036,Elizabeth O.,Yes,
112_s.3269,Elizabeth O.,No,
115_s.2872,Elizabeth O.,No,
101_s.2581,Elizabeth O.,No,
119_h.r.1069,Elizabeth O.,Yes,
119_s.res.353,Elizabeth O.,No,
119_h.r.1654,Elizabeth O.,No,
119_h.r.328,Elizabeth O.,No,
119_s.1339,Elizabeth O.,Yes,
112_h.r.5692,Elizabeth O.,No,
119_s.288,Elizabeth O.,Yes,
119_h.r.6500,Elizabeth O.,No,
111_h.r.1980,Elizabeth O.,No,
103_h.r.3475,Elizabeth O.,No,
119_s.res.567,Elizabeth O.,No,
110_h.r.5209,Elizabeth O.,No,
119_h.r.2022,Elizabeth O.,No,
119_h.r.2635,Elizabeth O.,Yes,
119_h.r.1318,Elizabeth O.,No,
119_s.3056,Elizabeth O.,Yes,
116_h.r.3230,Elizabeth O.,No,
119_h.r.4802,Elizabeth O.,No,"Doesn't specifically mention china, but I assume they fall under ""foreign entities"""
119_s.res.351,Elizabeth O.,No,
119_s.199,Elizabeth O.,Yes,
119_s.151,Elizabeth O.,No,
119_h.res.110,Elizabeth O.,Yes,
119_s.3416,Elizabeth O.,No,Same with bill H.R. 4802
119_h.r.1701,Elizabeth O.,Yes,
119_s.2354,Elizabeth O.,Yes,
119_h.r.3028,Elizabeth O.,No,
102_h.r.1519,Elizabeth O.,No,
119_h.res.106,Elizabeth O.,No,
119_h.r.1948,Elizabeth O.,Yes,
119_s.947,Elizabeth O.,Yes,
119_s.res.540,Elizabeth O.,No,
106_s.2143,Elizabeth O.,No,
105_h.con.res.22,Elizabeth O.,No,
119_h.r.906,Elizabeth O.,No,
119_h.res.104,Elizabeth O.,Yes,
119_s.1979,Elizabeth O.,No,
109_h.r.2003,Elizabeth O.,No,
109_s.3260,Elizabeth O.,No,
119_h.res.130,Elizabeth O.,Yes,
119_s.2475,Elizabeth O.,No,
110_h.r.744,Elizabeth O.,No,
119_h.r.3201,Elizabeth O.,No,
119_s.3614,Elizabeth O.,No,Same with bill H.R. 4802
112_s.15,Elizabeth O.,Yes,
119_s.715,Elizabeth O.,Yes,
119_h.r.3225,Elizabeth O.,No,
119_h.r.5986,Elizabeth O.,Yes,
107_h.r.4562,Elizabeth O.,No,
119_h.r.692,Elizabeth O.,Yes,
119_s.179,Elizabeth O.,No,
119_s.330,Elizabeth O.,Yes,
119_s.49,Elizabeth O.,Yes,
105_h.r.3150,Elizabeth O.,No,
112_s.2640,Elizabeth O.,No,
119_s.3566,Elizabeth O.,Yes,
119_h.r.4360,Elizabeth O.,Yes,
119_s.951,Elizabeth O.,No,
111_h.res.687,Elizabeth O.,No,
114_s.3469,Elizabeth O.,Yes,
119_s.1113,Elizabeth O.,Yes,
119_h.r.6581,Elizabeth O.,No,same with bill H.R. 4802
119_s.1755,Elizabeth O.,Yes,
119_h.r.509,Elizabeth O.,Yes,
117_s.res.538,Elizabeth O.,No,
119_h.r.1122,Elizabeth O.,Yes,
119_s.2168,Elizabeth O.,Yes,
119_s.244,Elizabeth O.,No,
101_s.2944,Elizabeth O.,No,
119_h.r.2349,Elizabeth O.,Yes,
119_s.res.61,Elizabeth O.,Yes,
119_h.r.1713,Elizabeth O.,No,
119_h.r.5180,Elizabeth O.,Yes,
119_s.2268,Elizabeth O.,No,
101_s.803,Elizabeth O.,No,
119_h.r.5244,Elizabeth O.,No,
119_h.r.4335,Elizabeth O.,No,
119_h.r.3292,Elizabeth O.,No,
107_h.r.4463,Elizabeth O.,No,
119_h.r.1184,Elizabeth O.,Yes,
119_h.r.3563,Elizabeth O.,Yes,
119_h.r.252,Elizabeth O.,Yes,
119_h.r.1716,Elizabeth O.,Yes,
119_s.731,Elizabeth O.,Yes,
119_s.176,Elizabeth O.,Yes,
119_s.680,Elizabeth O.,Yes,
119_h.r.386,Elizabeth O.,Yes,
119_s.res.54,Elizabeth O.,No,
119_h.r.3982,Elizabeth O.,No,
119_h.r.6447,Elizabeth O.,Yes,
119_s.1185,Elizabeth O.,No,
119_h.r.6496,Elizabeth O.,No,
118_s.2754,Elizabeth O.,Yes,
119_h.r.1615,Elizabeth O.,Yes,
119_h.r.2969,Elizabeth O.,No,
119_h.r.3461,Elizabeth O.,Yes,
119_h.r.1920,Elizabeth O.,No,same with bill H.R. 4802
119_s.2574,Elizabeth O.,No,same with bill H.R. 4802
112_h.r.5173,Elizabeth O.,No,
119_s.776,Elizabeth O.,No,
119_h.res.937,Elizabeth O.,No,
119_s.res.339,Elizabeth O.,No,
106_h.r.2064,Elizabeth O.,No,
119_h.res.689,Elizabeth O.,Yes,
119_h.r.1504,Elizabeth O.,Yes,
119_h.r.2416,Elizabeth O.,Yes,
119_h.r.3635,Elizabeth O.,No,same with bill H.R. 4802
119_s.1731,Elizabeth O.,Yes,
119_h.r.6846,Elizabeth O.,No,
119_s.j.res.49,Elizabeth O.,No,
104_s.1356,Elizabeth O.,No,
106_s.2175,Elizabeth O.,No,
119_s.2297,Elizabeth O.,No,same with bill H.R. 4802
119_h.res.368,Elizabeth O.,No,
112_s.2762,Elizabeth O.,No,
101_s.1059,Elizabeth O.,No,
119_s.1512,Elizabeth O.,No,same with bill H.R. 4802
119_s.1357,Elizabeth O.,Yes,
119_s.742,Elizabeth O.,No,
119_h.r.3737,Elizabeth O.,Yes,
119_h.r.6888,Elizabeth O.,No,
101_h.con.res.214,Elizabeth O.,No,
119_s.672,Elizabeth O.,Yes,
111_s.2110,Elizabeth O.,No,
119_s.259,Elizabeth O.,No,same with bill H.R. 4802
119_s.1900,Elizabeth O.,Yes,
119_h.r.866,Elizabeth O.,No,
115_s.1780,Elizabeth O.,Yes,
110_s.res.619,Elizabeth O.,No,
109_s.2317,Elizabeth O.,No,
119_h.r.256,Elizabeth O.,No,
119_s.3562,Elizabeth O.,No,
111_s.2062,Elizabeth O.,No,
119_h.r.1531,Elizabeth O.,Yes,
119_h.r.458,Elizabeth O.,No,same with bill H.R. 4802
112_s.2903,Elizabeth O.,No,
119_h.res.100,Elizabeth O.,Yes,
119_h.r.6781,Elizabeth O.,No,
116_s.3064,Elizabeth O.,No,
101_s.1278,Elizabeth O.,Yes,
119_h.res.5,Elizabeth O.,No,
119_h.res.653,Elizabeth O.,No,
119_h.r.2449,Ines A.,No,
119_h.r.3982,Ines A.,No,
119_h.r.2559,Ines A.,Yes,
119_h.r.5838,Ines A.,Yes,
119_s.j.res.101,Ines A.,Yes,
119_h.r.1625,Ines A.,No,
119_h.r.509,Ines A.,Yes,
119_h.r.2310,Ines A.,Yes,
119_s.res.31,Ines A.,Yes,
112_s.2762,Ines A.,No,
112_s.3269,Ines A.,No,
119_h.r.6770,Ines A.,Yes,
119_h.r.3225,Ines A.,No,
119_h.res.130,Ines A.,Yes,
119_h.r.386,Ines A.,Yes,
119_h.r.4519,Ines A.,No,
119_s.2354,Ines A.,No,
119_s.259,Ines A.,Yes,
119_h.res.916,Ines A.,Yes,
119_h.r.4706,Ines A.,Yes,
119_s.959,Ines A.,No,
119_h.r.620,Ines A.,No,
110_s.res.619,Ines A.,No,
119_s.199,Ines A.,Yes,
119_s.151,Ines A.,No,
119_h.r.4335,Ines A.,No,
119_h.r.1701,Ines A.,Yes,
115_s.1780,Ines A.,Yes,
119_s.res.226,Ines A.,Yes,
119_h.r.1920,Ines A.,No,
119_h.r.3201,Ines A.,No,
119_s.3614,Ines A.,No,
119_h.r.1165,Ines A.,No,
119_h.r.5450,Ines A.,No,
119_s.res.351,Ines A.,No,
119_h.r.2286,Ines A.,Yes,
119_h.r.5244,Ines A.,No,
119_s.3153,Ines A.,Yes,
119_s.3390,Ines A.,Yes,
119_s.3426,Ines A.,No,
109_s.2208,Ines A.,No,
119_s.1886,Ines A.,No,
119_s.1625,Ines A.,Yes,
112_h.r.5173,Ines A.,No,
119_h.r.2114,Ines A.,Yes,
119_s.1755,Ines A.,Yes,
114_s.3469,Ines A.,Yes,
107_h.r.4463,Ines A.,No,
119_h.res.561,Ines A.,No,
109_h.j.res.86,Ines A.,No,
119_s.731,Ines A.,Yes,
119_s.153,Ines A.,No,
119_h.r.1049,Ines A.,No,
119_h.r.4016,Ines A.,No,
119_s.3301,Ines A.,No,
112_s.15,Ines A.,Yes,
119_h.r.6318,Ines A.,No,
119_h.r.6846,Ines A.,No,
119_h.res.1020,Ines A.,Yes,
119_s.2296,Ines A.,No,
119_h.r.1318,Ines A.,No,
116_h.res.1131,Ines A.,No,
119_s.res.283,Ines A.,Yes,
119_s.40,Ines A.,No,
104_h.con.res.84,Ines A.,No,
109_h.r.5918,Ines A.,No,
119_s.res.339,Ines A.,No,
110_h.r.4156,Ines A.,No,
116_s.4018,Ines A.,No,
119_h.r.1743,Ines A.,No,
117_s.res.538,Ines A.,No,
101_s.2493,Ines A.,No,
119_h.r.906,Ines A.,No,
119_h.r.1468,Ines A.,Yes,
112_s.2903,Ines A.,No,
119_h.r.5246,Ines A.,Yes,
119_s.1357,Ines A.,Yes,
113_s.1850,Ines A.,No,
119_h.r.2000,Ines A.,Yes,
119_s.672,Ines A.,Yes,
119_s.742,Ines A.,No,
119_h.res.5,Ines A.,No,
106_s.2175,Ines A.,No,
119_s.1731,Ines A.,Yes,
119_h.r.3786,Ines A.,Yes,
119_h.res.110,Ines A.,Yes,
101_s.1278,Ines A.,Yes,
119_s.2268,Ines A.,Yes,
119_h.r.692,Ines A.,Yes,
111_h.r.1980,Ines A.,No,
119_s.res.523,Ines A.,Yes,
119_h.r.6888,Ines A.,No,
112_h.r.4796,Ines A.,No,
112_s.2358,Ines A.,No,
119_s.951,Ines A.,No,
119_s.res.540,Ines A.,No,
116_s.3064,Ines A.,No,
119_h.r.942,Ines A.,Yes,
119_s.1012,Ines A.,Yes,
119_h.r.1504,Ines A.,Yes,
119_h.r.4812,Ines A.,No,
113_h.r.1056,Ines A.,No,
119_h.r.1422,Ines A.,No,
112_s.2640,Ines A.,No,
119_h.r.400,Ines A.,No,
119_h.res.937,Ines A.,No,
119_h.r.458,Ines A.,No,
119_h.res.653,Ines A.,No,
119_s.res.54,Ines A.,Yes,
119_s.3163,Ines A.,Yes,
119_h.r.7058,Ines A.,No,
109_h.r.2836,Ines A.,No,
119_h.r.1167,Ines A.,Yes,
119_h.r.460,Ines A.,Yes,
119_h.r.1995,Ines A.,Yes,
118_s.2754,Ines A.,Yes,
119_h.r.4802,Ines A.,No,
119_s.1623,Ines A.,No,
119_h.r.5626,Ines A.,Yes,
119_h.res.925,Ines A.,No,
110_s.3439,Ines A.,No,
119_s.3555,Ines A.,Yes,
119_h.res.106,Ines A.,No,
106_h.r.3786,Ines A.,No,
106_s.2143,Ines A.,No,
119_h.r.6246,Ines A.,No,
111_s.2110,Ines A.,No,
101_s.2944,Ines A.,No,
107_h.r.4428,Ines A.,No,
119_h.r.969,Ines A.,No,
119_h.r.252,Ines A.,Yes,
119_h.r.6447,Ines A.,Yes,
119_h.r.866,Ines A.,No,
119_s.179,Ines A.,No,
119_h.r.5371,Ines A.,No,
119_s.1512,Ines A.,No,
108_h.r.2644,Ines A.,No,
119_h.res.368,Ines A.,No,
101_h.con.res.214,Ines A.,No,
105_h.con.res.22,Ines A.,No,
119_h.r.4848,Ines A.,Yes,
119_h.r.1615,Ines A.,No,
111_s.2028,Ines A.,No,
119_h.r.283,Ines A.,No,
107_h.r.4228,Ines A.,No,
119_h.r.6496,Ines A.,No,
119_s.176,Ines A.,Yes,
119_h.r.3461,Ines A.,Yes,
119_h.r.2871,Ines A.,No,
119_h.r.3838,Ines A.,No,
112_h.r.5692,Ines A.,No,
119_h.r.256,Ines A.,No,
119_s.2882,Ines A.,No,
115_s.2872,Ines A.,No,
119_s.947,Ines A.,Yes,
119_h.r.3224,Ines A.,No,
107_s.2178,Ines A.,No,
119_h.r.564,Ines A.,Yes,
106_h.r.2064,Ines A.,No,
119_h.r.3292,Ines A.,No,
119_s.1711,Ines A.,Yes,
119_h.r.2459,Ines A.,No,
119_s.res.61,Ines A.,Yes,
119_h.r.7020,Ines A.,No,
119_h.r.2022,Ines A.,No,
119_h.r.960,Ines A.,No,
109_s.2317,Ines A.,No,
104_s.1356,Ines A.,No,
117_s.res.538,Kate K.,No,
119_h.res.561,Kate K.,No,
119_h.r.1724,Kate K.,Yes,
119_h.r.3838,Kate K.,No,
111_h.res.1266,Kate K.,No,
115_s.res.386,Kate K.,No,
113_h.r.3355,Kate K.,No,
119_h.r.1743,Kate K.,No,
119_s.res.523,Kate K.,Yes,
119_h.res.971,Kate K.,Yes,
101_h.r.4305,Kate K.,No,
119_s.3153,Kate K.,No,
110_h.r.4730,Kate K.,No,
119_h.r.3122,Kate K.,No,
119_h.r.1995,Kate K.,No,
119_s.3451,Kate K.,No,
119_s.3555,Kate K.,No,
119_h.r.960,Kate K.,No,
119_s.823,Kate K.,Yes,"Mentions China specifically, but also says it is for other countries too"
119_s.2722,Kate K.,Yes,
119_s.1012,Kate K.,No,
105_s.1833,Kate K.,No,
119_h.r.2653,Kate K.,No,
119_s.3390,Kate K.,Yes,
119_h.r.3197,Kate K.,Yes,
116_s.4018,Kate K.,No,
106_h.r.901,Kate K.,No,
115_s.1780,Kate K.,No,
109_h.r.2836,Kate K.,No,
101_s.1715,Kate K.,No,
119_h.res.916,Kate K.,Yes,
119_h.r.2310,Kate K.,Yes,
119_h.r.2114,Kate K.,No,
119_h.r.7075,Kate K.,Yes,
114_s.3469,Kate K.,Yes,
119_h.r.4519,Kate K.,No,
119_h.r.1468,Kate K.,Yes,
119_h.r.620,Kate K.,No,
119_h.r.5838,Kate K.,Yes,
119_h.res.930,Kate K.,Yes,
108_h.r.2644,Kate K.,No,
119_h.r.1679,Kate K.,No,
119_h.r.4812,Kate K.,No,
119_s.res.283,Kate K.,Yes,
119_s.3301,Kate K.,No,
119_s.959,Kate K.,No,
119_h.r.938,Kate K.,No,
119_h.r.2659,Kate K.,Yes,
119_h.r.3224,Kate K.,No,
119_s.1165,Kate K.,Yes,
109_h.r.5918,Kate K.,No,
119_h.r.5250,Kate K.,No,
119_s.488,Kate K.,No,
119_h.res.717,Kate K.,No,
111_s.2028,Kate K.,No,
103_h.r.2897,Kate K.,No,
119_h.r.5329,Kate K.,Yes,
119_h.r.1625,Kate K.,No,
119_h.r.2449,Kate K.,No,
119_h.r.2871,Kate K.,No,
107_h.r.4228,Kate K.,No,
119_h.r.7058,Kate K.,No,
119_s.321,Kate K.,Yes,
119_h.r.6770,Kate K.,Yes,
119_s.3374,Kate K.,No,
119_h.r.4,Kate K.,No,
101_s.2944,Kate K.,No,
119_h.r.910,Kate K.,Yes,
110_h.r.4156,Kate K.,No,
119_h.r.1005,Kate K.,No,
119_h.r.649,Kate K.,No,
119_s.2424,Kate K.,Yes,
119_h.r.283,Kate K.,No,
112_s.2358,Kate K.,No,
119_s.res.39,Kate K.,No,
119_h.r.3452,Kate K.,Yes,
119_h.r.942,Kate K.,Yes,
114_h.r.4303,Kate K.,No,
119_s.761,Kate K.,No,
119_s.2684,Kate K.,Yes,
119_h.r.564,Kate K.,Yes,
119_h.r.4016,Kate K.,No,
110_s.3439,Kate K.,No,
119_s.1772,Kate K.,Yes,
119_h.r.6246,Kate K.,No,
119_h.r.5246,Kate K.,No,
111_s.1854,Kate K.,No,
119_h.res.242,Kate K.,No,
119_h.r.1049,Kate K.,No,
119_s.1010,Kate K.,Yes,
119_h.r.460,Kate K.,Yes,
119_h.r.1167,Kate K.,Yes,
119_s.1223,Kate K.,Yes,
119_s.40,Kate K.,No,
119_h.r.6576,Kate K.,Yes,
119_h.r.1422,Kate K.,No,
119_h.r.969,Kate K.,No,
119_h.r.4848,Kate K.,Yes,
119_s.1623,Kate K.,Yes,
119_s.1864,Kate K.,Yes,
119_s.3426,Kate K.,No,
119_s.3163,Kate K.,Yes,
119_s.153,Kate K.,No,
119_s.j.res.101,Kate K.,Yes,
113_s.1850,Kate K.,No,
109_s.2317,Kate K.,No,
101_s.2493,Kate K.,No,
101_s.1278,Kate K.,Yes,
119_h.r.6372,Kate K.,No,
107_h.r.4428,Kate K.,No,
119_s.1754,Kate K.,Yes,
119_h.r.1165,Kate K.,No,
119_h.r.4121,Kate K.,No,
119_s.2296,Kate K.,No,
115_s.2872,Kate K.,No,
119_h.r.2559,Kate K.,Yes,
119_h.r.2286,Kate K.,Yes,
106_h.r.3786,Kate K.,No,
119_h.r.3961,Kate K.,Yes,
119_h.r.2459,Kate K.,No,
119_s.res.226,Kate K.,Yes,
101_h.r.4587,Kate K.,No,
119_s.3080,Kate K.,Yes,
119_h.res.515,Kate K.,Yes,
119_s.580,Kate K.,Yes,
119_h.r.400,Kate K.,No,
119_h.r.2000,Kate K.,Yes,
119_s.res.31,Kate K.,Yes,
107_s.2178,Kate K.,No,
119_h.r.4775,Kate K.,No,
119_h.res.925,Kate K.,No,
107_s.1798,Kate K.,No,
119_h.r.455,Kate K.,Yes,
119_s.2882,Kate K.,No,
111_s.1926,Kate K.,No,
119_s.172,Kate K.,Yes,
119_s.2342,Kate K.,No,
109_s.2208,Kate K.,No,
119_h.r.4522,Kate K.,Yes,
108_h.r.4398,Kate K.,No,
116_h.res.1131,Kate K.,No,
119_h.res.64,Kate K.,No,
110_h.r.5198,Kate K.,No,
109_h.j.res.86,Kate K.,No,
119_s.res.356,Kate K.,No,
108_h.r.2534,Kate K.,No,
119_h.res.1020,Kate K.,No,
119_h.r.733,Kate K.,Yes,
119_s.406,Kate K.,No,
113_h.r.1056,Kate K.,No,
119_s.2125,Kate K.,Yes,
119_h.r.2619,Kate K.,No,
119_h.r.1023,Kate K.,No,
119_s.2671,Kate K.,No,
119_h.r.3786,Kate K.,No,
119_h.r.6105,Kate K.,Yes,
119_h.r.5371,Kate K.,No,
112_s.15,Kate K.,No,
119_h.r.7020,Kate K.,No,
119_s.res.281,Kate K.,No,
106_h.r.2196,Kate K.,No,
119_h.r.1166,Kate K.,No,
104_h.con.res.84,Kate K.,No,
119_h.r.3180,Kate K.,Yes,
118_s.2754,Kate K.,No,
119_h.r.4706,Kate K.,Yes,
119_s.777,Kate K.,Yes,
119_s.2258,Kate K.,Yes,
110_h.r.5198,Lena H.,No,
119_h.r.2619,Lena H.,No,
119_s.580,Lena H.,Yes,
119_h.res.148,Lena H.,Yes,
119_s.1772,Lena H.,Yes,
119_s.823,Lena H.,Yes,
117_s.res.538,Lena H.,No,
119_h.res.971,Lena H.,Yes,
119_h.r.5250,Lena H.,No,
119_s.j.res.37,Lena H.,No,
119_s.3655,Lena H.,Yes,
119_h.r.1048,Lena H.,No,"Main concerns are chinese and russian companies sending money to US higher ed institions, but uses them as examlpes and targets any foreign instition"
119_s.3451,Lena H.,No,
119_h.r.1724,Lena H.,Yes,
105_s.1833,Lena H.,No,
119_h.r.733,Lena H.,Yes,*Hong Kong
119_s.3080,Lena H.,Yes,
101_h.r.4587,Lena H.,No,
112_s.2501,Lena H.,No,
119_s.2342,Lena H.,No,
119_s.817,Lena H.,Yes,
119_s.108,Lena H.,Yes,
119_s.res.52,Lena H.,Yes,
102_h.r.1807,Lena H.,No,
119_s.2868,Lena H.,No,
119_h.r.7113,Lena H.,Yes,*obviously a joke
119_h.r.3180,Lena H.,Yes,
119_h.r.914,Lena H.,No,
119_s.1754,Lena H.,Yes,
119_h.r.3198,Lena H.,Yes,
119_s.172,Lena H.,Yes,
119_h.r.1166,Lena H.,Yes,
119_s.2722,Lena H.,Yes,
119_h.r.4775,Lena H.,No,
119_s.1223,Lena H.,Yes,
119_s.733,Lena H.,Yes,
119_h.res.717,Lena H.,No,
119_s.3374,Lena H.,Yes,
119_h.res.515,Lena H.,Yes,
119_h.res.64,Lena H.,No,korea is us ally in asia but does not mention china
119_s.853,Lena H.,No,
119_h.r.1549,Lena H.,Yes,
119_s.res.356,Lena H.,No,
119_h.r.4522,Lena H.,Yes,
102_h.r.1859,Lena H.,No,
119_s.1011,Lena H.,Yes,
119_s.2671,Lena H.,No,
119_h.r.6372,Lena H.,No,
103_s.res.209,Lena H.,No,
110_h.r.4730,Lena H.,No,
119_s.1055,Lena H.,No,
102_h.r.3406,Lena H.,No,
119_s.2611,Lena H.,No,
119_h.r.4830,Lena H.,Yes,
119_s.res.39,Lena H.,No,
119_s.37,Lena H.,No,
116_s.4018,Lena H.,Yes,
119_s.3158,Lena H.,No,
112_s.15,Lena H.,Yes,
107_h.r.4239,Lena H.,No,
115_s.1780,Lena H.,No,
115_s.res.386,Lena H.,No,
119_h.r.938,Lena H.,Yes,
101_h.r.4305,Lena H.,No,
108_h.r.2534,Lena H.,No,
119_s.res.352,Lena H.,No,
119_s.761,Lena H.,No,
119_h.r.649,Lena H.,No,
