con_legis_num,congress,title,manual_coding,split,source
112_s.2762,112,A bill to extend and modify the temporary suspension of duty on mixtures of tris(4-isocyanatophenyl)thiophosphate.,0,train,intern_2026
101_h.con.res.214,101,In support of regional efforts to end driftnet fishing in the South Pacific.,0,train,intern_2026
111_s.2110,111,A bill to reduce temporarily the duty on Fluopyram.,0,train,intern_2026
110_s.res.619,110,A resolution expressing support for a constructive dialogue on human rights issues between the United States and Bahrain.,0,train,intern_2026
112_s.2903,112,A bill to suspend temporarily the duty on 2-ethylhexyl salicylate.,0,train,intern_2026
116_s.3064,116,A bill to oppose violations of religious freedom in Ukraine by Russia and armed groups commanded by Russia.,0,train,intern_2026
109_s.2208,109,A bill to suspend temporarily the duty on para-Chlorophenol.,0,train,intern_2026
109_h.j.res.86,109,"Approving the renewal of import restrictions contained in the Burmese Freedom and Democracy Act of 2003, and for other purposes.",0,train,intern_2026
116_h.res.1131,116,Condemning the murder of Sara Duker and renouncing Palestinian Authority martyr payments to terrorists.,0,train,intern_2026
104_h.con.res.84,104,Expressing the sense of the Congress concerning freedom of the press in Russia.,0,train,intern_2026
109_h.r.5918,109,To amend the Immigration and Nationality Act to protect vulnerable refugees and asylum seekers.,0,train,intern_2026
110_h.r.4156,110,"Making emergency supplemental appropriations for the Department of Defense for the fiscal year ending September 30, 2008, and for other purposes.",0,train,intern_2026
101_s.2493,101,"A bill to suspend until December 31, 1992, the duty on 4,5-dichloro-2-n-octyl-4-isothiazolin-3-one and on mixtures of 4,5-dichloro-2-n-octyl-4-isothiazolin-3-one and application adjuvants, with or without stabilizers.",0,train,intern_2026
113_s.1850,113,"A bill to reform and modernize domestic refugee resettlement programs, and for other purposes.",0,train,intern_2026
112_s.2358,112,A bill to reduce temporarily the duty on certain pasta tools.,0,train,intern_2026
113_h.r.1056,113,To extend the temporary suspension of duty on Acid Black 132.,0,train,intern_2026
109_h.r.2836,109,To extend the duty suspension on Allyl isosulfocynate.,0,train,intern_2026
110_s.3439,110,"A bill to provide for duty free treatment of certain recreational performance outerwear, and for other purposes.",0,train,intern_2026
106_h.r.3786,106,"To suspend temporarily the duty on machines, and their parts, for use in the manufacture of digital versatile discs (DVDs).",0,train,intern_2026
107_h.r.4428,107,To extend the temporary suspension of duty on B-Bromo-B-nitrostyrene.,0,train,intern_2026
108_h.r.2644,108,To suspend temporarily the duty on Procion Navy H-EXL.,0,train,intern_2026
111_s.2028,111,A bill to extend the temporary suspension of duty on Thymol.,0,train,intern_2026
107_h.r.4228,107,"To suspend until December 31, 2005, the duty on Penta Amino Aceto Nitrate Cobalt III (CoFlake 2).",0,train,intern_2026
107_s.2178,107,"A bill to suspend temporarily the duty on 1H-imidazole,4-(1-methylethyl)-2-[(phenylmethoxy)methyl]-(9Cl).",0,train,intern_2026
111_h.res.1266,111,Recognizing the 60th anniversary of the outbreak of the Korean War.,0,train,intern_2026
115_s.res.386,115,"A resolution urging the Government of the Democratic Republic of the Congo to fulfill its agreement to hold credible elections, comply with constitutional limits on presidential terms, and fulfill its constitutional mandate for a democratic transition of power by taking concrete and measurable steps towards holding elections not later than December 2018 as outlined in the existing election calendar, and allowing for freedom of expression and association.",0,train,intern_2026
113_h.r.3355,113,"To increase the competitiveness of American manufacturing by reducing regulatory and other burdens, encouraging greater innovation and investment, and developing a stronger workforce for the twenty-first century, and for other purposes.",0,train,intern_2026
101_h.r.4305,101,"To extend until January 1, 1994, the existing temporary suspension of duty on 3-Ethylamino-p-cresol.",0,train,intern_2026
110_h.r.4730,110,To extend the temporary suspension of duty on trifloxysulfuron-sodium technical.,0,train,intern_2026
105_s.1833,105,"A bill to suspend temporarily the duty on 1-(4-methoxy-6-methyl-triazin-2-yl)-3-(2-(3,3,3-trifluoropropyl)-phenylsulfonyl)-urea.",0,train,intern_2026
106_h.r.901,106,"To amend the Support for East European Democracy (SEED) Act of 1989 to provide for the transfer of amounts of the Polish-American Enterprise Fund upon the termination of that Enterprise Fund to a private, nonprofit organization located in Poland.",0,train,intern_2026
101_s.1715,101,A bill to temporarily suspend the duty on ioxaglate.,0,train,intern_2026
103_h.r.2897,103,"To suspend temporarily the duty on the personal effects of participants in, and certain other individuals associated with, the 1994 World Cup soccer games.",0,train,intern_2026
114_h.r.4303,114,"To provide for the establishment of an accountable and humane border security strategy for the international land borders of the United States, address cultural, economic, ecological, environmental and humanitarian impacts of border security infrastructure, measures, and activities along the international land borders of the United States, and for other purposes.",0,train,intern_2026
111_s.1854,111,A bill to extend the suspension of duty on pymetrozine technical.,0,train,intern_2026
101_h.r.4587,101,To suspend for a three-year period the duty on composite vials of timolol maleate/pilocarpine hydrochloride solutions and diluent.,0,train,intern_2026
107_s.1798,107,A bill to extend temporarily the duty on railway car body shells of stainless steel.,0,train,intern_2026
111_s.1926,111,A bill to extend the temporary suspension of duty on compound of strontium chloroapatite-europium.,0,train,intern_2026
108_h.r.4398,108,To amend the Harmonized Tariff Schedule of the United States to provide that the calculation of the duty imposed on imported cherries that are provisionally preserved does not include the weight of the preservative materials of the cherries.,0,train,intern_2026
110_h.r.5198,110,To suspend temporarily the duty on Cathode high voltage connector.,0,train,intern_2026
108_h.r.2534,108,"To promote human rights, democracy, and the rule of law by providing a process for executive agencies for declassifying on an expedited basis and disclosing certain documents relating to human rights abuses in countries other than the United States.",0,train,intern_2026
106_h.r.2196,106,"To suspend temporarily the duty on slide fasteners, with chain scoops of base metal die-cast onto strips of textal material.",0,train,intern_2026
112_s.2501,112,A bill to extend the temporary suspension of duty on mixtures of (acetato) pentammine cobalt dinitrate with a polymeric or paraffinic carrier.,0,train,intern_2026
102_h.r.1807,102,To extend the existing suspension of duty on Diflunisal.,0,train,intern_2026
102_h.r.1859,102,To make a technical correction with respect to the temporary duty suspension for clomiphene citrate.,0,train,intern_2026
103_s.res.209,103,A resolution to express the sense of the Senate honoring Mikis Theodorakis.,0,train,intern_2026
102_h.r.3406,102,Concerning democratic changes and violations of human rights in Zaire.,0,train,intern_2026
107_h.r.4239,107,"To extend the temporary suspension of duty on [4R-[3(2S*,3S*),4R*]]-3-[2-Hy-droxy-3-[(3-hydroxy-2-methyl-b enzoyl)amino]-1-oxo-4-phenylbutyl]-5,5-dimethyl-N-[(2-methyl penyl)-methyl]-4-thiazolidine-carboxamide.",0,train,intern_2026
105_h.r.4358,105,To amend the Harmonized Tariff Schedule of the United States to provide for equitable duty treatment for certain wool used in making suits.,0,train,intern_2026
112_h.r.5300,112,To extend the temporary suspension of duty on certain single yarns of viscose rayon.,0,train,intern_2026
104_h.r.1056,104,"To establish the Commonwealth of Guam, and for other purposes.",0,train,intern_2026
109_s.2963,109,"A bill to suspend temporarily the duty on formulated products containing mixtures of the active ingredient 2-chloro-n-[[(4-methoxy-6-methyl-1,3,5-triazin-2yl)amino]carbonyl] benzenesulfonamide and application adjuvants.",0,train,intern_2026
110_h.r.4471,110,To suspend temporarily the duty on certain acrylic synthetic staple fiber.,0,train,intern_2026
111_s.2087,111,A bill to suspend temporarily the duty on certain power panels specifically designed for wind turbine generators to transfer electric power to and from a utility power grid at 2100 kW at 600 volts with a nominal full load of 2190 amps.,0,train,intern_2026
110_s.3357,110,A bill to extend the temporary suspension of duty on certain rayon staple fibers.,0,train,intern_2026
105_h.r.2432,105,To provide relief for domestic producers of tailored wool apparel from increased imports of such apparel from Canada.,0,train,intern_2026
103_h.r.2452,103,Relating to the tariff treatment of certain agglomerated cork products.,0,train,intern_2026
112_h.res.698,112,Recognizing the significance of the 30th anniversary of Vincent Chin's death.,0,train,intern_2026
110_h.con.res.203,110,Condemning the persecution of labor rights advocates in Iran.,0,train,intern_2026
103_h.r.5206,103,To authorize the reliquidation of certain entries.,0,train,intern_2026
116_h.r.1383,116,"To advance United States national interests by prioritizing the protection of internationally recognized human rights and development of the rule of law in relations between the United States and Vietnam, and for other purposes.",0,train,intern_2026
107_h.con.res.202,107,Condemning the Palestinian Authority and various Palestinian organizations for using children as soldiers and inciting children to acts of violence and war.,0,train,intern_2026
112_h.r.5165,112,"To suspend temporarily the duty on footwear other than house slippers, for women, valued $9.00/pair or higher.",0,train,intern_2026
104_h.r.3499,104,To temporarily suspend the duty on certain lead fuel test assemblies.,0,train,intern_2026
102_h.r.5372,102,"To suspend until January 1, 1995, the duty on cyclohexylisocyanate.",0,train,intern_2026
109_h.r.1890,109,To suspend temporarily the duty on Propiconazole.,0,train,intern_2026
109_h.r.2225,109,To suspend temporarily the duty on Bayderm Bottom DLV.,0,train,intern_2026
112_h.r.5363,112,To suspend temporarily the duty on 4-(1-Ethoxyethoxy) styrene-4- (t-butylcarbonyloxy) styrene-4-hydroxystyrene copolymer.,0,train,intern_2026
113_h.r.1505,113,"To ensure that the courts of the United States may provide an impartial forum for claims brought by United States citizens and others against any railroad organized as a separate legal entity, arising from the deportation of United States citizens and others to Nazi concentration camps on trains owned or operated by such railroad, and by the heirs and survivors of such persons, and for other purposes.",0,train,intern_2026
109_h.res.1001,109,Providing for earmarking reform in the House of Representatives.,0,train,intern_2026
110_h.r.5389,110,To extend the temporary suspension of duty on o-tert-Butylcyclohexanol.,0,train,intern_2026
104_h.r.3698,104,To reduce violent crime by juvenile offenders.,0,train,intern_2026
111_h.con.res.318,111,Supporting the ideals and objectives of the United Nations Millennium Declaration and related Millennium Development Goals and calling on the President to ensure the United States contributes meaningfully to the achievement of the Millennium Development Goals by the year 2015.,0,train,intern_2026
111_s.1975,111,A bill to suspend temporarily the duty on flavored green tea (not fermented).,0,train,intern_2026
116_h.r.598,116,"To support the independence, sovereignty, and territorial integrity of Georgia, and for other purposes.",0,train,intern_2026
112_s.3124,112,"A bill to extend the temporary suspension of duty on acrylic staple fibers containing at least 85 percent by weight of acrylonitrile units and 2 percent or more but not more than 3 percent of water, raw white (undyed), crimped, with an average decitex of 2.2 (plus or minus 10 percent) and fiber length of 38 mm (plus or minus 10 percent).",0,train,intern_2026
112_s.2776,112,A bill to extend the temporary suspension of duty on mixtures of thiophanate methyl and application adjuvants.,0,train,intern_2026
106_h.r.5469,106,To provide for review in the Court of International Trade of certain determinations of binational panels under the North American Free Trade Agreement.,0,train,intern_2026
112_h.r.5192,112,To suspend temporarily the duty on certain mechanics' work gloves.,0,train,intern_2026
108_h.r.10,108,"To provide for reform of the intelligence community, terrorism prevention and prosecution, border security, and international cooperation and coordination, and for other purposes.",0,train,intern_2026
101_h.r.4018,101,"To extend until January 1, 1995, the existing temporary suspension of the duty on nicotine resin complex and on terfenadone.",0,train,intern_2026
116_h.res.256,116,Recognizing people of African descent and Black Europeans.,0,train,intern_2026
103_h.r.795,103,To amend the Harmonized Tariff Schedule of the United States to exclude certain footwear assembled in beneficiary countries from duty-free treatment.,0,train,intern_2026
115_h.r.6413,115,"To combat trafficking in human organs, and for other purposes.",0,train,intern_2026
112_s.res.342,112,A resolution honoring the life and legacy of Laura Pollan.,0,train,intern_2026
108_h.r.2616,108,"To increase the capabilities of the United States to provide reconstruction assistance to countries or regions impacted by armed conflict, and for other purposes.",0,train,intern_2026
111_s.2001,111,A bill to extend temporarily the suspension of duty on certain high tenacity rayon filament yarn.,0,train,intern_2026
102_h.r.1910,102,"To extend until January 1, 1995, the existing suspension on duty of sulfamethazine.",0,train,intern_2026
112_h.r.5402,112,To extend the temporary suspension of duty on Flonicamid.,0,train,intern_2026
112_h.r.4896,112,To suspend temporarily the duty on certain work boots for women.,0,train,intern_2026
101_h.r.5344,101,To provide for a lower rate of duty on East German products imported during the transition to a unified Germany.,0,train,intern_2026
110_h.r.5911,110,To repeal certain incentives and subsidies for renewable fuels.,0,train,intern_2026
111_s.2488,111,A bill to suspend temporarily the duty on sodium hypophosphite.,0,train,intern_2026
110_h.r.5209,110,"To suspend temporarily the duty on Pressure Hose with red jacket, 42 millimeters outside diameter x 32 millimeters inside diameter.",0,train,intern_2026
112_s.2754,112,"A bill to extend the temporary suspension of duty on 4,4'-oxydianiline.",0,train,intern_2026
116_h.r.3230,116,To combat the spread of disinformation through restrictions on deep-fake video alteration technology.,0,train,intern_2026
110_h.r.2705,110,"To amend the Compact of Free Association Amendments Act of 2003, and for other purposes.",0,train,intern_2026
